iter	Passed	Remaining
0	137	136915
1	142	71110
2	145	48404
3	148	36908
4	150	29886
5	152	25194
6	154	21883
7	156	19391
8	157	17384
9	159	15764
10	160	14429
11	161	13312
12	162	12362
13	164	11551
14	165	10843
15	166	10217
16	167	9663
17	168	9201
18	169	8776
19	171	8379
20	171	8012
21	172	7674
22	173	7368
23	174	7092
24	175	6837
25	176	6598
26	177	6380
27	177	6169
28	178	5972
29	179	5790
30	179	5619
31	180	5459
32	181	5310
33	181	5169
34	183	5068
35	184	4946
36	185	4826
37	186	4713
38	186	4606
39	187	4501
40	188	4401
41	188	4305
42	189	4214
43	189	4127
44	190	4044
45	191	3964
46	191	3887
47	192	3814
48	192	3744
49	193	3677
50	194	3612
51	194	3549
52	195	3489
53	195	3431
54	196	3375
55	197	3324
56	198	3276
57	198	3226
58	199	3179
59	200	3133
60	200	3088
61	201	3045
62	201	3003
63	202	2962
64	203	2921
65	203	2882
66	204	2845
67	204	2809
68	205	2773
69	206	2738
70	206	2704
71	207	2673
72	208	2641
73	208	2611
74	209	2582
75	210	2553
76	210	2524
77	211	2496
78	211	2469
79	212	2447
80	213	2423
81	214	2399
82	214	2371
83	215	2348
84	215	2324
85	216	2302
86	217	2280
87	217	2258
88	218	2236
89	219	2215
90	219	2194
91	220	2174
92	220	2154
93	221	2134
94	222	2115
95	222	2097
96	223	2078
97	223	2060
98	224	2042
99	225	2025
100	225	2010
101	226	1994
102	228	1985
103	229	1974
104	229	1959
105	230	1944
106	231	1929
107	231	1914
108	232	1900
109	233	1885
110	233	1871
111	234	1857
112	234	1843
113	235	1829
114	236	1817
115	236	1804
116	237	1790
117	237	1778
118	238	1765
119	239	1753
120	239	1742
121	240	1730
122	241	1719
123	241	1707
124	242	1697
125	243	1687
126	243	1676
127	244	1666
128	245	1656
129	245	1645
130	246	1635
131	247	1625
132	247	1615
133	248	1605
134	249	1595
135	249	1586
136	250	1576
137	250	1566
138	251	1557
139	252	1548
140	252	1539
141	253	1528
142	253	1519
143	254	1511
144	254	1502
145	255	1493
146	255	1485
147	256	1477
148	257	1471
149	258	1464
150	259	1456
151	259	1449
152	260	1441
153	261	1434
154	261	1427
155	262	1419
156	263	1412
157	263	1404
158	264	1397
159	264	1390
160	265	1382
161	265	1374
162	266	1368
163	267	1361
164	267	1354
165	268	1347
166	268	1341
167	269	1335
168	270	1330
169	271	1324
170	271	1317
171	272	1313
172	273	1308
173	274	1302
174	275	1297
175	275	1291
176	276	1285
177	276	1279
178	277	1273
179	278	1267
180	278	1261
181	279	1256
182	280	1250
183	280	1244
184	281	1239
185	281	1233
186	282	1228
187	283	1223
188	283	1217
189	284	1212
190	284	1207
191	285	1201
192	286	1196
193	286	1191
194	287	1186
195	288	1182
196	289	1178
197	289	1173
198	290	1168
199	290	1163
200	291	1158
201	292	1153
202	292	1148
203	293	1144
204	293	1139
205	294	1134
206	294	1130
207	295	1125
208	296	1121
209	296	1117
210	297	1112
211	298	1108
212	298	1103
213	299	1099
214	299	1094
215	300	1090
216	301	1086
217	301	1081
218	302	1077
219	302	1074
220	303	1070
221	304	1066
222	304	1062
223	305	1058
224	306	1054
225	306	1050
226	307	1046
227	307	1042
228	308	1038
229	309	1034
230	309	1031
231	310	1027
232	311	1025
233	312	1022
234	313	1019
235	313	1015
236	314	1012
237	315	1009
238	315	1005
239	316	1002
240	317	999
241	318	997
242	319	994
243	320	991
244	320	988
245	321	985
246	322	982
247	322	978
248	323	975
249	324	972
250	324	969
251	325	966
252	326	962
253	326	959
254	327	956
255	327	952
256	328	949
257	329	946
258	329	942
259	330	939
260	330	936
261	331	933
262	332	931
263	333	928
264	333	925
265	334	922
266	334	919
267	335	916
268	336	913
269	336	910
270	337	907
271	337	904
272	338	901
273	339	898
274	339	895
275	340	892
276	340	890
277	341	887
278	342	884
279	342	881
280	343	878
281	344	875
282	344	873
283	345	870
284	345	867
285	346	864
286	347	862
287	348	861
288	349	859
289	350	857
290	350	854
291	351	852
292	352	849
293	352	846
294	353	844
295	353	841
296	354	838
297	354	836
298	355	833
299	356	830
300	356	828
301	357	825
302	357	823
303	358	820
304	359	818
305	359	815
306	360	813
307	360	810
308	361	808
309	362	806
310	363	805
311	364	803
312	364	800
313	365	798
314	366	795
315	366	793
316	367	791
317	367	788
